,Courses,Topic,Duration,Effort,Total Hours Lower Bound,Start Date,End Date Estimate Lower Bound,Total Hours Upper Bound,Start Date.1,End Date Estimate Upper Bound,Actual End Date,Prerequisites,Prerequisite Codes,Course Code
0,Python for Everybody,Intro CS,10 weeks,10 hours/week,100,28-07-2022,01-09-2022,100,28-07-2022,01-09-2022,,-,,IC001
1,Introduction to Computer Science and Programming using Python,Intro CS,9 weeks,15 hours/week,135,01-09-2022,18-10-2022,135,01-09-2022,18-10-2022,,high school algebra,P004,IC002
2,How to Code - Simple Data,Core Programming,7 weeks,8-10 hours/week,56,18-10-2022,06-11-2022,70,18-10-2022,11-11-2022,,-,,CP001
3,How to Code - Complex Data,Core Programming,6 weeks,8-10 hours/week,48,06-11-2022,23-11-2022,60,11-11-2022,02-12-2022,,How to Code - Simple Data,CP001,CP002
4,"Programming Languages, Part A",Core Programming,5 weeks,4-8 hours/week,20,23-11-2022,30-11-2022,40,02-12-2022,16-12-2022,,How to Code (Hear instructor),P007,CP003
5,"Programming Languages, Part B",Core Programming,3 weeks,4-8 hours/week,12,30-11-2022,04-12-2022,24,16-12-2022,25-12-2022,,"Programming Languages, Part A",CP003,CP004
6,"Programming Languages, Part C",Core Programming,3 weeks,4-8 hours/week,12,04-12-2022,09-12-2022,24,25-12-2022,02-01-2023,,"Programming Languages, Part B",CP004,CP005
7,Object-Oriented Design,Core Programming,4 weeks,4 hours/week,16,09-12-2022,14-12-2022,16,02-01-2023,08-01-2023,,Java for Everybody,P002,CP006
8,Design Patterns,Core Programming,4 weeks,4 hours/week,16,14-12-2022,20-12-2022,16,08-01-2023,13-01-2023,,Object-Oriented Design,CP006,CP007
9,Software Architecture,Core Programming,4 weeks,2-5 hours/week,8,20-12-2022,23-12-2022,20,13-01-2023,20-01-2023,,Design Patterns,CP007,CP008
10,Calculus 1A: Differentiation,Core Math,13 weeks,6-10 hours/week,78,23-12-2022,19-01-2023,130,20-01-2023,07-03-2023,,high school math,P008,CM001
11,Calculus 1B: Integration,Core Math,13 weeks,5-10 hours/week,65,19-01-2023,11-02-2023,130,07-03-2023,21-04-2023,,Calculus 1A: Differentiation,CM001,CM002
12,Calculus 1C: Coordinate Systems & Infinite Series,Core Math,6 weeks,5-10 hours/week,30,11-02-2023,21-02-2023,60,21-04-2023,12-05-2023,,Calculus 1B: Integration,CM002,CM003
13,Mathematics for Computer Science,Core Math,13 weeks,5 hours/week,65,21-02-2023,16-03-2023,65,12-05-2023,04-06-2023,,Calculus 1C: Coordinate Systems & Infinite Series,CM003,CM004
14,The Missing Semester of Your CS Education,CS Tools,2 weeks,12 hours/week,24,16-03-2023,24-03-2023,24,04-06-2023,12-06-2023,,-,,CT001
15,Build a Modern Computer from First Principles: From Nand to Tetris,Core Systems,6 weeks,7-13 hours/week,42,24-03-2023,08-04-2023,78,12-06-2023,10-07-2023,,C Programming,P010,CS001
16,Build a Modern Computer from First Principles: Nand to Tetris Part II,Core Systems,6 weeks,12-18 hours/week,72,08-04-2023,03-05-2023,108,10-07-2023,17-08-2023,,Build a Modern Computer from First Principles: From Nand to Tetris,CS001,CS002
17,Operating Systems: Three Easy Pieces,Core Systems,10-12 weeks,6 hours/week,60,03-05-2023,24-05-2023,72,17-08-2023,11-09-2023,,C Programming,P010,CS003
18,Computer Networking: a Top-Down Approach,Core Systems,8 weeks,4-12 hours/week,32,24-05-2023,04-06-2023,96,11-09-2023,14-10-2023,,Linear Algebra; Probability; basic CS,P003;P005;P006,CS004
19,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Core Theory,4 weeks,4-8 hours/week,16,04-06-2023,10-06-2023,32,14-10-2023,26-10-2023,,Mathematics for Computer Science,CM004,CT001
20,"Graph Search, Shortest Paths, and Data Structures",Core Theory,4 weeks,4-8 hours/week,16,10-06-2023,16-06-2023,32,26-10-2023,06-11-2023,,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",CT001,CT002
21,"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",Core Theory,4 weeks,4-8 hours/week,16,16-06-2023,21-06-2023,32,06-11-2023,17-11-2023,,"Graph Search, Shortest Paths, and Data Structures",CT002,CT003
22,"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them",Core Theory,4 weeks,4-8 hours/week,16,21-06-2023,27-06-2023,32,17-11-2023,28-11-2023,,"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",CT003,CT004
23,Cybersecurity Fundamentals,Core Security,8 weeks,10-12 hours/week,80,27-06-2023,25-07-2023,96,28-11-2023,01-01-2024,,-,,CS001
24,Principles of Secure Coding,Core Security,4 weeks,4 hours/week,16,25-07-2023,30-07-2023,16,01-01-2024,06-01-2024,,-,,CS002
25,Identifying Security Vulnerabilities,Core Security,4 weeks,4 hours/week,16,30-07-2023,05-08-2023,16,06-01-2024,12-01-2024,,-,,CS003
26,Identifying Security Vulnerabilities in C/C++ Programming or Exploiting and Securing Vulnerabilities in Java Applications,Core Security,4 weeks,5 hours/week,20,05-08-2023,12-08-2023,20,12-01-2024,19-01-2024,,-,,CS004
27,Databases: Modeling and Theory,Core Applications,2 weeks,10 hours/week,20,19-08-2023,26-08-2023,20,26-01-2024,02-02-2024,,Core Programming,CP001;CP002;CP003;CP004;CP005;CP006;CP007;CP008,CA001
28,Databases: Relational Databases and SQL,Core Applications,2 weeks,10 hours/week,20,12-08-2023,19-08-2023,20,19-01-2024,26-01-2024,,Core Programming,CP001;CP002;CP003;CP004;CP005;CP006;CP007;CP008,CA002
29,Databases: Semistructured Data,Core Applications,2 weeks,10 hours/week,20,26-08-2023,02-09-2023,20,02-02-2024,09-02-2024,,Core Programming,CP001;CP002;CP003;CP004;CP005;CP006;CP007;CP008,CA003
30,Machine Learning,Core Applications,11 weeks,4-6 hours/week,44,02-09-2023,17-09-2023,66,09-02-2024,03-03-2024,,Linear Algebra,P003,CA004
31,Computer Graphics,Core Applications,6 weeks,12 hours/week,72,17-09-2023,13-10-2023,72,03-03-2024,28-03-2024,,C++ for Everybody; Java for Everybody; Linear Algebra,P001;P002;P003,CA005
32,Software Engineering: Introduction,Core Applications,6 weeks,8-10 hours/week,48,13-10-2023,29-10-2023,60,28-03-2024,18-04-2024,,Core Programming,CP001;CP002;CP003;CP004;CP005;CP006;CP007;CP008,CA006
33,"Ethics, Technology and Engineering",Core Ethics,9 weeks,2 hours/week,18,29-10-2023,05-11-2023,18,18-04-2024,25-04-2024,,-,,CE001
34,Intellectual Property Law in Digital Age,Core Ethics,4 weeks,2 hours/week,8,05-11-2023,07-11-2023,8,25-04-2024,27-04-2024,,-,,CE002
35,Data Privacy Fundamentals,Core Ethics,3 weeks,3 hours/week,9,07-11-2023,11-11-2023,9,27-04-2024,30-04-2024,,-,,CE003
36,Parallel Programming,Advanced Programming,4 weeks,6-8 hours/week,24,11-11-2023,19-11-2023,32,30-04-2024,12-05-2024,,Scala Programming,P009,AP001
37,Compilers,Advanced Programming,9 weeks,6-8 hours/week,54,19-11-2023,08-12-2023,72,12-05-2024,06-06-2024,,-,,AP002
38,Introduction to Haskell,Advanced Programming,14 weeks,-,100,08-12-2023,12-01-2024,100,06-06-2024,11-07-2024,,-,,AP003
39,Learn Prolog Now!,Advanced Programming,12 weeks,-,100,12-01-2024,16-02-2024,100,11-07-2024,15-08-2024,,-,,AP004
40,Software Debugging,Advanced Programming,8 weeks,6 hours/week,48,16-02-2024,04-03-2024,48,15-08-2024,01-09-2024,,Python for Everybody; Object-Oriented Design,IC001;CP006,AP005
41,Software Testing,Advanced Programming,4 weeks,6 hours/week,24,04-03-2024,12-03-2024,24,01-09-2024,09-09-2024,,Python for Everybody,IC001,AP006
42,Final Project,Final Project,,,100,12-03-2024,16-04-2024,100,09-09-2024,14-10-2024,,,,FP001
